Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 ROGERIO TEIXEIRA JUNIOR,92.0,M,100,11167559.0
 GERALDO JUNIO DO AMARAL,91.0,M,100,11167559.0
 JOÃO FERRARI JÚNIOR,92.0,M,100,11167559.0
 JOSE LOURENÇO BOMFIM JUNIOR,56.0,M,100,11167559.0
 ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,69.0,M,100,11167559.0
 JOSE JUSCELINO DOS SANTOS REZENDE FILHO,86.0,M,100,11167559.0
 KIM PATROCA KATAGUIRI,86.0,M,100,11167559.0
 LAERCIO JOSÉ DE OLIVEIRA,74.0,M,100,11167559.0
 LAFAYETTE LUIZ DOORGAL DE ANDRADA,89.0,M,100,11167559.0
 LEONARDO CUNHA DE BRITO,88.0,M,100,11167559.0
 LEONARDO BARRETO DE MORAES,81.0,M,100,11167559.0
 ELIEL MÁRCIO DO CARMO,79.0,M,100,11167559.0
 JOSÉ LEONARDO COSTA MONTEIRO,92.0,M,100,11167559.0
 JOSÉ LEÔNIDAS DE MENEZES CRISTINO,87.0,M,100,11167559.0
 LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,84.0,M,100,11167559.0
 LINCOLN DINIZ PORTELA,88.0,M,100,11167559.0
 LOESTER CARLOS GOMES DE SOUZA,66.0,M,100,11167559.0
 LOURIVAL GOMES DE ALMEIDA,88.0,M,100,11167559.0
 LUCAS DE VASCONCELOS GONZALEZ,90.0,M,100,11167559.0
 LUCAS BELLO REDECKER,87.0,M,100,11167559.0
 LUCAS DE CASTRO SANTOS,68.0,M,100,11167559.0
 LUCIANO CALDAS BIVAR,53.0,M,100,11167559.0
 LUCIANO DUCCI,85.0,M,100,11167559.0
 LUCIO ANTONIO MOSQUINI,67.0,M,100,11167559.0
 LUIS CLAUDIO FERNANDES MIRANDA,93.0,M,100,11167559.0
 LUIS HENRIQUE DE OLIVEIRA RESENDE,66.0,M,100,11167559.0
 LUIZ ANTONIO C. C. CORRÊA DA SILVA,94.0,M,100,11167559.0
 LUIZ CARLOS GOMES DOS SANTOS JUNIOR,56.0,M,100,11167559.0
 LUIZ CARLOS MOTTA,86.0,M,100,11167559.0
 LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,94.0,M,100,11167559.0
 LUIZ HILOSHI NISHIMORI,70.0,M,100,11167559.0
 LUIZ PHILIPPE DE ORLEANS BRAGANÇA,85.0,M,100,11167559.0
 LUIZ GOULARTE ALVES,85.0,M,100,11167559.0
 VITOR HUGO DE ARAUJO ALMEIDA,89.0,M,100,11167559.0
 MARCEL VAN HATTEM,94.0,M,100,11167559.0
 MARCELO HENRIQUE TEIXEIRA DIAS,84.0,M,100,11167559.0
 MARCELO GUILHERME DE ARO FERREIRA,84.0,M,100,11167559.0
 MARCELO CALERO FARIA GARCIA,65.0,M,100,11167559.0
 MARCELO RIBEIRO FREIXO,89.0,M,100,11167559.0
 MARCELO PIRES MORAES,89.0,M,100,11167559.0
 JOSÉ MARCELO DO NASCIMENTO NILO,81.0,M,100,11167559.0
 MARCELO RAMOS RODRIGUES,84.0,M,100,11167559.0
 MARCIO LUIZ ALVINO DE SOUZA,94.0,M,104,11167559.0
 MARCIO DELLA VALLE BIOLCHI,84.0,M,100,11167559.0
 MÁRCIO JERRY SARAIVA BARROSO,65.0,M,100,11167559.0
 MÁRCIO DA SILVEIRA LABRE,90.0,M,100,11167559.0
 MÁRCIO COSTA MACÊDO,54.0,M,,
 MÁRCIO CARLOS MARINHO,76.0,M,100,11167559.0
 MARCO AURELIO BERTAIOLLI,90.0,M,100,11167559.0
 DIONILSO MATEUS MARCON,84.0,M,100,11167559.0
 MARCOS AURÉLIO PÁDUA RIBEIRO GONÇALVES DE SAMPAIO,88.0,M,100,11167559.0
 MARCOS ANTONIO PEREIRA,81.0,M,100,11167559.0
 MÁRIO LÚCIO HERINGER,80.0,M,100,11167559.0
